Cluster,Size
"1000000007, 1000000009",2
"1000000087, 1000000093, 1000000097, 1000000103",4
"1000000289, 1000000297",2
"1000000403, 1000000409, 1000000411",3
"1000000427, 1000000433, 1000000439, 1000000447, 1000000453, 1000000459",6
"1000000607, 1000000613",2
"1000000861, 1000000871",2
"1000000891, 1000000901",2
"1000000931, 1000000933",2
"1000001011, 1000001021",2
"1000001203, 1000001213",2
"1000001263, 1000001269, 1000001273, 1000001279",4
"1000001329, 1000001333",2
"1000001447, 1000001449",2
"1000001491, 1000001501",2
"1000001531, 1000001537, 1000001539",3
"1000001617, 1000001621",2
"1000001789, 1000001791, 1000001801, 1000001803",4
"1000001917, 1000001927",2
"1000001957, 1000001963, 1000001969",3
"1000002139, 1000002149",2
"1000002187, 1000002193",2
"1000002233, 1000002239",2
"1000002359, 1000002361",2
"1000002449, 1000002457",2
"1000002571, 1000002581",2
"1000002631, 1000002637",2
"1000002821, 1000002823, 1000002827",3
"1000003009, 1000003013",2
"1000003051, 1000003057",2
"1000003153, 1000003157, 1000003163",3
"1000003241, 1000003247, 1000003253",3
"1000003267, 1000003271, 1000003273, 1000003283",4
"1000003351, 1000003357",2
"1000003373, 1000003379",2
"1000003469, 1000003471",2
"1000003513, 1000003519",2
"1000003577, 1000003579",2
"1000003643, 1000003651",2
"1000003747, 1000003751",2
"1000003769, 1000003777, 1000003787, 1000003793",4
"1000003843, 1000003853",2
"1000003889, 1000003891",2
"1000003909, 1000003919",2
"1000003951, 1000003957, 1000003967",3
"1000004119, 1000004123",2
"1000004249, 1000004251",2
"1000004321, 1000004329",2
"1000004381, 1000004389",2
"1000004449, 1000004459",2
"1000004497, 1000004507",2
"1000004567, 1000004569",2
"1000004609, 1000004611",2
"1000004627, 1000004633",2
"1000004693, 1000004699",2
"1000004771, 1000004777, 1000004783, 1000004791",4
"1000004839, 1000004843, 1000004849, 1000004857, 1000004867, 1000004869",6
"1000004891, 1000004893, 1000004897",3
"1000004927, 1000004933",2
"1000004977, 1000004981",2
"1000005187, 1000005197, 1000005203",3
"1000005277, 1000005287",2
"1000005353, 1000005361",2
"1000005403, 1000005407",2
"1000005437, 1000005443, 1000005449, 1000005451",4
"1000005541, 1000005547",2
"1000005731, 1000005737",2
"1000005823, 1000005827, 1000005833",3
"1000005899, 1000005907",2
"1000005947, 1000005953, 1000005959",3
"1000005971, 1000005973",2
"1000005991, 1000005997",2
"1000006019, 1000006027, 1000006037, 1000006039",4
"1000006093, 1000006099",2
"1000006127, 1000006129",2
"1000006223, 1000006229",2
"1000006307, 1000006313",2
"1000006417, 1000006421",2
"1000006457, 1000006459",2
"1000006571, 1000006577, 1000006583",3
"1000006661, 1000006663",2
"1000006957, 1000006961, 1000006967",3
"1000007023, 1000007027",2
"1000007137, 1000007147",2
"1000007237, 1000007243",2
"1000007383, 1000007389",2
"1000007447, 1000007453",2
"1000007513, 1000007521, 1000007531, 1000007537",4
"1000007647, 1000007651, 1000007653",3
"1000007923, 1000007927, 1000007929",3
"1000008083, 1000008089",2
"1000008101, 1000008109",2
"1000008173, 1000008181",2
"1000008257, 1000008259",2
"1000008271, 1000008277",2
"1000008311, 1000008313",2
"1000008343, 1000008349",2
"1000008397, 1000008403",2
"1000008431, 1000008439",2
"1000008661, 1000008671, 1000008679",3
"1000008719, 1000008727",2
"1000008791, 1000008797, 1000008803, 1000008811",4
"1000009009, 1000009013",2
"1000009093, 1000009099",2
"1000009123, 1000009133",2
"1000009277, 1000009279, 1000009289",3
"1000009321, 1000009331",2
"1000009399, 1000009403",2
"1000009519, 1000009529, 1000009531, 1000009541",4
"1000009559, 1000009561, 1000009567, 1000009573, 1000009579",5
"1000009597, 1000009601, 1000009609",3
"1000009733, 1000009739",2
"1000009859, 1000009867",2
